Date,Open,High,Low,Close,Volume
17/06/2024,"213,37","218,95","194,14","216,67",93728300
18/06/2024,"217,59","218,63","192,15","214,29",79943254
20/06/2024,"213,93","214,24","193,63","209,68",86172451
21/06/2024,"210,39","211,89","206,9","207,49",246421353
24/06/2024,"207,72","212,7","211,6","208,14",80727006
25/06/2024,"209,15","211,38","211,3","209,07",56713868
26/06/2024,"211,5","214,86","212,72","213,25",66213186
27/06/2024,"214,69","215,74",213,"214,1",49772707
28/06/2024,"215,77","216,07","208,85","210,62",82542718
01/07/2024,"212,09","217,51","207,11","216,75",60402929
02/07/2024,"216,15","220,38","206,59","220,27",58046178
03/07/2024,220,"221,55","208,61","221,55",37369801
05/07/2024,"221,65","226,45","210,64","226,34",60412408
08/07/2024,"227,09","227,85","212,35","227,82",59085861
09/07/2024,"227,93","229,4","210,3","228,68",48169822
10/07/2024,"229,3","233,08","211,92","232,98",62627687
11/07/2024,"231,39","232,39","215,1","227,57",64710617
12/07/2024,"228,92","232,64","219,03","230,54",53046527
15/07/2024,"236,48","237,23","221,65","234,4",62631252
16/07/2024,235,"236,27","223,25","234,82",43234278
17/07/2024,"229,45","231,46","226,37","228,88",57345884
18/07/2024,"230,28","230,44","229,25","224,18",66034585
19/07/2024,"224,82","226,8","225,77","224,31",49151453
22/07/2024,"227,01","227,78","228,68","223,96",48201835
23/07/2024,"224,37","226,94","233,09","225,01",39960260
24/07/2024,224,"224,8","232,33","218,54",61777576
25/07/2024,"218,93","220,85","226,64","217,49",51391199
26/07/2024,"218,7","219,49","222,27","217,96",41601345
29/07/2024,"216,96","219,3","223,28","218,24",36311778
30/07/2024,"219,19","220,33","223,09","218,8",41643840
31/07/2024,"221,44","223,82","222,68","222,08",50036262
01/08/2024,"224,37","224,48","217,13","218,36",62500996
02/08/2024,"219,15","225,6","214,62","219,86",105568560
05/08/2024,"199,09","213,5","216,01","209,27",119548589
06/08/2024,"205,3","209,99","215,75","207,23",69660488
07/08/2024,"206,9","213,64","216,12","209,82",63516417
08/08/2024,"213,11","214,2","220,63","213,31",47161149
09/08/2024,"212,1","216,78","217,02","216,24",42201646
12/08/2024,"216,07","219,51","217,71","217,53",38028092
13/08/2024,"219,01","221,89",196,"221,27",44155331
14/08/2024,"220,57","223,03","201,07","221,72",41960574
15/08/2024,"224,6","225,35","206,39","224,72",46414013
16/08/2024,"223,92","226,83","208,83","226,05",44340240
19/08/2024,"225,72","225,99","211,97","225,89",40687813
20/08/2024,"225,77","227,17","215,6","226,51",30299033
21/08/2024,"226,52","227,98","219,01","226,4",34765480
22/08/2024,"227,79","228,34","219,7","224,53",43695321
23/08/2024,"225,66","228,22","222,76","226,84",38677250
26/08/2024,"226,76","227,28","223,65","227,18",30602208
27/08/2024,226,"228,85","223,04","228,03",35934559
28/08/2024,"227,92","229,86","225,45","226,49",38052167
29/08/2024,"230,1","232,92","225,05","229,79",51906297
30/08/2024,"230,19","230,4","223,9",229,52990770
